word,key_A,key_B,key_C,key_D,key_E,key_F,key_G,key_H,key_I,key_J,key_K,key_L,key_M,key_N,key_O,key_P,key_Q,key_R,key_S,key_T,key_U,key_V,key_W,key_X,key_Y,key_Z,key_SPACE
AME,AME,BNF,COG,DPH,EQI,FRJ,GSK,HTL,IUM,JVN,KWO,LXP,MYQ,NZR,O S,PAT,QBU,RCV,SDW,TEX,UFY,VGZ,WH ,XIA,YJB,ZKC, LD
AMI,AMI,BNJ,COK,DPL,EQM,FRN,GSO,HTP,IUQ,JVR,KWS,LXT,MYU,NZV,O W,PAX,QBY,RCZ,SD ,TEA,UFB,VGC,WHD,XIE,YJF,ZKG, LH
AMP,AMP,BNQ,COR,DPS,EQT,FRU,GSV,HTW,IUX,JVY,KWZ,LX ,MYA,NZB,O C,PAD,QBE,RCF,SDG,TEH,UFI,VGJ,WHK,XIL,YJM,ZKN, LO
AMT,AMT,BNU,COV,DPW,EQX,FRY,GSZ,HT ,IUA,JVB,KWC,LXD,MYE,NZF,O G,PAH,QBI,RCJ,SDK,TEL,UFM,VGN,WHO,XIP,YJQ,ZKR, LS
AMU,AMU,BNV,COW,DPX,EQY,FRZ,GS ,HTA,IUB,JVC,KWD,LXE,MYF,NZG,O H,PAI,QBJ,RCK,SDL,TEM,UFN,VGO,WHP,XIQ,YJR,ZKS, LT
AMY,AMY,BNZ,CO ,DPA,EQB,FRC,GSD,HTE,IUF,JVG,KWH,LXI,MYJ,NZK,O L,PAM,QBN,RCO,SDP,TEQ,UFR,VGS,WHT,XIU,YJV,ZKW, LX
ANA,ANA,BOB,CPC,DQD,ERE,FSF,GTG,HUH,IVI,JWJ,KXK,LYL,MZM,N N,OAO,PBP,QCQ,RDR,SES,TFT,UGU,VHV,WIW,XJX,YKY,ZLZ, M 
ANC,ANC,BOD,CPE,DQF,ERG,FSH,GTI,HUJ,IVK,JWL,KXM,LYN,MZO,N P,OAQ,PBR,QCS,RDT,SEU,TFV,UGW,VHX,WIY,XJZ,YK ,ZLA, MB
AND,AND,BOE,CPF,DQG,ERH,FSI,GTJ,HUK,IVL,JWM,KXN,LYO,MZP,N Q,OAR,PBS,QCT,RDU,SEV,TFW,UGX,VHY,WIZ,XJ ,YKA,ZLB, MC
ANE,ANE,BOF,CPG,DQH,ERI,FSJ,GTK,HUL,IVM,JWN,KXO,LYP,MZQ,N R,OAS,PBT,QCU,RDV,SEW,TFX,UGY,VHZ,WI ,XJA,YKB,ZLC, MD
ANI,ANI,BOJ,CPK,DQL,ERM,FSN,GTO,HUP,IVQ,JWR,KXS,LYT,MZU,N V,OAW,PBX,QCY,RDZ,SE ,TFA,UGB,VHC,WID,XJE,YKF,ZLG, MH
ANN,ANN,BOO,CPP,DQQ,ERR,FSS,GTT,HUU,IVV,JWW,KXX,LYY,MZZ,N  ,OAA,PBB,QCC,RDD,SEE,TFF,UGG,VHH,WII,XJJ,YKK,ZLL, MM
ANS,ANS,BOT,CPU,DQV,ERW,FSX,GTY,HUZ,IV ,JWA,KXB,LYC,MZD,N E,OAF,PBG,QCH,RDI,SEJ,TFK,UGL,VHM,WIN,XJO,YKP,ZLQ, MR
ANT,ANT,BOU,CPV,DQW,ERX,FSY,GTZ,HU ,IVA,JWB,KXC,LYD,MZE,N F,OAG,PBH,QCI,RDJ,SEK,TFL,UGM,VHN,WIO,XJP,YKQ,ZLR, MS
ANY,ANY,BOZ,CP ,DQA,ERB,FSC,GTD,HUE,IVF,JWG,KXH,LYI,MZJ,N K,OAL,PBM,QCN,RDO,SEP,TFQ,UGR,VHS,WIT,XJU,YKV,ZLW, MX
AOB,AOB,BPC,CQD,DRE,ESF,FTG,GUH,HVI,IWJ,JXK,KYL,LZM,M N,NAO,OBP,PCQ,QDR,RES,SFT,TGU,UHV,VIW,WJX,XKY,YLZ,ZM , NA
AOL,AOL,BPM,CQN,DRO,ESP,FTQ,GUR,HVS,IWT,JXU,KYV,LZW,M X,NAY,OBZ,PC ,QDA,REB,SFC,TGD,UHE,VIF,WJG,XKH,YLI,ZMJ, NK
AOR,AOR,BPS,CQT,DRU,ESV,FTW,GUX,HVY,IWZ,JX ,KYA,LZB,M C,NAD,OBE,PCF,QDG,REH,SFI,TGJ,UHK,VIL,WJM,XKN,YLO,ZMP, NQ
APA,APA,BQB,CRC,DSD,ETE,FUF,GVG,HWH,IXI,JYJ,KZK,L L,MAM,NBN,OCO,PDP,QEQ,RFR,SGS,THT,UIU,VJV,WKW,XLX,YMY,ZNZ, O 
APE,APE,BQF,CRG,DSH,ETI,FUJ,GVK,HWL,IXM,JYN,KZO,L P,MAQ,NBR,OCS,PDT,QEU,RFV,SGW,THX,UIY,VJZ,WK ,XLA,YMB,ZNC, OD
APH,APH,BQI,CRJ,DSK,ETL,FUM,GVN,HWO,IXP,JYQ,KZR,L S,MAT,NBU,OCV,PDW,QEX,RFY,SGZ,TH ,UIA,VJB,WKC,XLD,YME,ZNF, OG
API,API,BQJ,CRK,DSL,ETM,FUN,GVO,HWP,IXQ,JYR,KZS,L T,MAU,NBV,OCW,PDX,QEY,RFZ,SG ,THA,UIB,VJC,WKD,XLE,YMF,ZNG, OH
APL,APL,BQM,CRN,DSO,ETP,FUQ,GVR,HWS,IXT,JYU,KZV,L W,MAX,NBY,OCZ,PD ,QEA,RFB,SGC,THD,UIE,VJF,WKG,XLH,YMI,ZNJ, OK
APP,APP,BQQ,CRR,DSS,ETT,FUU,GVV,HWW,IXX,JYY,KZZ,L  ,MAA,NBB,OCC,PDD,QEE,RFF,SGG,THH,UII,VJJ,WKK,XLL,YMM,ZNN, OO
APR,APR,BQS,CRT,DSU,ETV,FUW,GVX,HWY,IXZ,JY ,KZA,L B,MAC,NBD,OCE,PDF,QEG,RFH,SGI,THJ,UIK,VJL,WKM,XLN,YMO,ZNP, OQ
APT,APT,BQU,CRV,DSW,ETX,FUY,GVZ,HW ,IXA,JYB,KZC,L D,MAE,NBF,OCG,PDH,QEI,RFJ,SGK,THL,UIM,VJN,WKO,XLP,YMQ,ZNR, OS
APX,APX,BQY,CRZ,DS ,ETA,FUB,GVC,HWD,IXE,JYF,KZG,L H,MAI,NBJ,OCK,PDL,QEM,RFN,SGO,THP,UIQ,VJR,WKS,XLT,YMU,ZNV, OW
ARA,ARA,BSB,CTC,DUD,EVE,FWF,GXG,HYH,IZI,J J,KAK,LBL,MCM,NDN,OEO,PFP,QGQ,RHR,SIS,TJT,UKU,VLV,WMW,XNX,YOY,ZPZ, Q 
ARB,ARB,BSC,CTD,DUE,EVF,FWG,GXH,HYI,IZJ,J K,KAL,LBM,MCN,NDO,OEP,PFQ,QGR,RHS,SIT,TJU,UKV,VLW,WMX,XNY,YOZ,ZP , QA
